CustomerKey,CustomerAlternateKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine,Phone,DateFirstPurchase,CommuteDistance,CountryName,StateName,PostalCode,City
12973,AW00012973,Adrian,Howard,Adrian Howard,3/12/71,S,M,adrian13@adventure-works.com,70000,0,0,Partial College,Skilled Manual,1,1,9623 Dennis Circle,341-555-0183,4/26/08,2-5 Miles,United States,Washington,98052,Redmond
17255,AW00017255,Carly,Nath,Carly Nath,9/3/74,M,F,carly16@adventure-works.com,100000,0,5,Partial High School,Professional,1,4,5884 Madhatter Circle,1 (11) 500 555-0145,9/19/05,10+ Miles,Australia,New South Wales,2060,Lavender Bay
27616,AW00027616,Emma,Brown,Emma Brown,12/11/69,S,F,emma3@adventure-works.com,120000,3,2,Bachelors,Management,1,4,3455 Southbrook Dr.,231-555-0147,7/3/05,2-5 Miles,United States,California,91945,Lemon Grove
11605,AW00011605,Heidi,Subram,Heidi Subram,11/20/80,S,F,heidi15@adventure-works.com,20000,0,0,High School,Manual,0,1,Auf den Kuhlen Straße 9,1 (11) 500 555-0183,9/9/06,1-2 Miles,Germany,Saarland,70452,Stuttgart
12670,AW00012670,Sarah,Martinez,Sarah Martinez,7/21/79,S,F,sarah19@adventure-works.com,70000,0,0,Bachelors,Professional,0,3,977 Davona Drive,1 (11) 500 555-0185,8/26/06,10+ Miles,Australia,New South Wales,1002,Sydney
12182,AW00012182,Erin,Torres,Erin Torres,12/7/64,M,F,erin8@adventure-works.com,70000,5,4,High School,Professional,1,4,8700 Gloria Terrace,402-555-0198,9/15/07,2-5 Miles,Canada,British Columbia,V8Y 1L1,Cliffside
18156,AW00018156,Trisha,Zhang,Trisha Zhang,2/4/57,M,F,trisha18@adventure-works.com,80000,4,2,Partial College,Professional,1,2,1413 Bridgeview St,1 (11) 500 555-0167,3/4/08,10+ Miles,United Kingdom,England,HP10 9QY,High Wycombe
23149,AW00023149,Brandi,Rubio,Brandi Rubio,12/27/74,M,F,brandi20@adventure-works.com,40000,1,1,Bachelors,Skilled Manual,1,1,6557 Jalalon Place,871-555-0113,3/2/08,0-1 Miles,United States,California,94519,Concord
11865,AW00011865,Chloe,Rivera,Chloe Rivera,2/6/65,M,F,chloe54@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,6282 Mcneil Place,372-555-0142,8/21/07,2-5 Miles,United States,California,91950,National City
20042,AW00020042,Brad,Deng,Brad Deng,5/4/78,M,M,brad2@adventure-works.com,40000,1,1,Bachelors,Skilled Manual,1,0,2732 Frisbie Ct.,1 (11) 500 555-0111,7/3/05,1-2 Miles,United Kingdom,England,L4 4HB,Liverpool
28444,AW00028444,Pedro,Sai,Pedro Sai,11/19/79,S,M,pedro6@adventure-works.com,30000,0,0,Partial College,Clerical,0,1,"2, rue Pierre-Demoulin",1 (11) 500 555-0173,9/21/07,0-1 Miles,France,Yveline,78000,Versailles
12903,AW00012903,John,Sandstone,John Sandstone,10/2/73,S,F,john27@adventure-works.com,50000,2,2,Bachelors,Skilled Manual,1,0,2286 Sunset Way,114-555-0100,1/9/08,2-5 Miles,Canada,British Columbia,V8Y 1L1,Cliffside
13466,AW00013466,Bryce,James,Bryce James,6/20/64,M,M,bryce0@adventure-works.com,80000,5,4,Partial College,Professional,1,3,1064 Armstrong Rd.,980-555-0197,3/19/08,1-2 Miles,Canada,British Columbia,V3A 4R2,Langley
26349,AW00026349,Adam,Lopez,Adam Lopez,4/19/69,S,M,adam42@adventure-works.com,60000,0,0,Graduate Degree,Professional,0,0,1267 Baltic Sea Ct.,740-555-0165,10/4/07,0-1 Miles,United States,Washington,99202,Spokane
20434,AW00020434,Nathan,Sharma,Nathan Sharma,10/13/79,S,M,nathan27@adventure-works.com,60000,0,0,Partial College,Skilled Manual,0,2,15 Aspen Drive,416-555-0128,1/7/08,1-2 Miles,United States,California,91932,Imperial Beach
24381,AW00024381,Danny,Serrano,Danny Serrano,5/14/69,S,M,danny17@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,9353 N Lucile Lane,1 (11) 500 555-0110,5/22/07,5-10 Miles,Australia,New South Wales,2264,Silverwater
12709,AW00012709,Ian,Rodriguez,Ian Rodriguez,1/14/45,M,M,ian18@adventure-works.com,130000,2,3,Bachelors,Management,1,4,7744 Lacorso Drive,631-555-0178,6/10/06,0-1 Miles,United States,California,94070,San Carlos
28520,AW00028520,Susan,Liang,Susan Liang,4/5/73,M,F,susan27@adventure-works.com,40000,0,0,Graduate Degree,Clerical,1,0,"4, route de Marseille",1 (11) 500 555-0110,8/31/06,0-1 Miles,France,Seine et Marne,77127,Lieusaint
26301,AW00026301,Isaiah,Hall,Isaiah Hall,1/15/76,S,M,isaiah46@adventure-works.com,70000,1,0,Graduate Degree,Professional,0,0,362 Richard Place,257-555-0112,8/17/06,0-1 Miles,United States,California,90712,Lakewood
23786,AW00023786,Carrie,Serrano,Carrie Serrano,3/15/58,M,F,carrie15@adventure-works.com,20000,3,0,Partial High School,Manual,1,2,6316 Damascus Loop,416-555-0138,1/11/08,1-2 Miles,United States,Washington,98225,Bellingham
12648,AW00012648,Lori,Dominguez,Lori Dominguez,3/10/56,M,F,lori14@adventure-works.com,170000,4,5,Partial College,Professional,1,4,2466 Clearland Circle,1 (11) 500 555-0163,3/27/07,10+ Miles,United Kingdom,England,WA1,Warrington
20616,AW00020616,Kristi,Serrano,Kristi Serrano,2/12/77,S,F,kristi12@adventure-works.com,120000,0,5,Partial High School,Professional,1,4,8027 Blue Cr,1 (11) 500 555-0148,6/2/06,10+ Miles,Australia,New South Wales,2061,Milsons Point
11251,AW00011251,Xavier,Long,Xavier Long,7/4/36,S,M,xavier51@adventure-works.com,30000,4,0,High School,Professional,0,2,9245 Dantley Way,243-555-0114,4/20/08,5-10 Miles,Canada,British Columbia,V2W 1W2,Haney
15857,AW00015857,Isabella,White,Isabella White,6/6/63,S,F,isabella68@adventure-works.com,60000,4,0,Graduate Degree,Skilled Manual,1,0,9940 Northwood Dr.,713-555-0136,4/25/08,1-2 Miles,United States,California,91910,Chula Vista
17901,AW00017901,Keith,Tang,Keith Tang,4/15/46,M,M,keith6@adventure-works.com,20000,1,0,Partial College,Manual,1,0,Wallstr 842,1 (11) 500 555-0189,5/4/08,0-1 Miles,Germany,Nordrhein-Westfalen,30601,Hannover
11814,AW00011814,Dalton,Morgan,Dalton Morgan,7/8/74,M,M,dalton84@adventure-works.com,60000,2,0,Graduate Degree,Professional,1,0,4921 Oakwood Circle,530-555-0182,12/25/07,0-1 Miles,United States,Oregon,97034,Lake Oswego
22140,AW00022140,Makayla,Sanchez,Makayla Sanchez,12/22/45,M,F,makayla19@adventure-works.com,50000,4,0,Bachelors,Management,1,2,5919 Maywood Lane,322-555-0172,6/27/08,1-2 Miles,United States,Washington,98055,Renton
23088,AW00023088,Wesley,Hu,Wesley Hu,6/15/81,S,M,wesley20@adventure-works.com,40000,0,0,Partial High School,Clerical,0,2,4051 Athene Drive,858-555-0160,8/12/07,5-10 Miles,United States,Washington,98225,Bellingham
16295,AW00016295,Roger,Xu,Roger Xu,11/14/67,S,M,roger17@adventure-works.com,30000,2,2,Partial College,Clerical,1,2,"88, rue Montcalm",1 (11) 500 555-0152,9/18/07,0-1 Miles,France,Moselle,57000,Metz
29072,AW00029072,Emma,Ramirez,Emma Ramirez,8/18/81,S,F,emma43@adventure-works.com,40000,0,0,Bachelors,Professional,0,2,3713 Rollingwood Dr.,476-555-0139,6/26/08,5-10 Miles,Canada,British Columbia,V7L 4J4,Vancouver
22870,AW00022870,Barbara,Chen,Barbara Chen,11/15/82,S,F,barbara12@adventure-works.com,30000,0,0,High School,Manual,1,1,"28, place de la Concorde",1 (11) 500 555-0180,10/26/07,2-5 Miles,France,Val d'Oise,95000,Cergy
17555,AW00017555,William,Smith,William Smith,1/13/47,M,M,william16@adventure-works.com,70000,5,0,Bachelors,Management,1,2,2126 Silver Oak Pl.,774-555-0186,5/1/08,1-2 Miles,United States,California,94519,Concord
24324,AW00024324,Jennifer,Reed,Jennifer Reed,10/27/68,S,F,jennifer56@adventure-works.com,60000,4,2,Bachelors,Skilled Manual,1,2,7227 Serafina,453-555-0118,6/22/08,2-5 Miles,United States,California,90241,Downey
20036,AW00020036,Kate,Tang,Kate Tang,4/7/67,M,F,kate3@adventure-works.com,70000,4,2,Bachelors,Professional,1,2,6587 B Way,219-555-0142,7/20/07,2-5 Miles,United States,California,94014,Colma
15398,AW00015398,Jose,Wang,Jose Wang,10/13/64,M,M,jose19@adventure-works.com,150000,1,2,Partial College,Professional,1,4,7332 Arcadia Pl,177-555-0147,11/1/06,2-5 Miles,United States,California,94611,Oakland
23643,AW00023643,Erica,Zheng,Erica Zheng,11/22/78,S,F,erica18@adventure-works.com,70000,0,0,Bachelors,Professional,0,3,7403 N. Broadway,1 (11) 500 555-0122,11/5/07,10+ Miles,Australia,New South Wales,2113,North Ryde
25121,AW00025121,Clarence,Yang,Clarence Yang,9/19/73,M,M,clarence41@adventure-works.com,110000,1,0,Graduate Degree,Management,1,1,3676 Oak Leaf Ct,1 (11) 500 555-0138,4/29/07,2-5 Miles,Australia,Queensland,4655,Hervey Bay
28373,AW00028373,Shane,Lopez,Shane Lopez,9/25/70,S,M,shane19@adventure-works.com,10000,4,4,Partial High School,Manual,0,2,"6, avenue des Laurentides",1 (11) 500 555-0181,2/6/08,0-1 Miles,France,Seine (Paris),75007,Paris
14438,AW00014438,Gabrielle,Gonzales,Gabrielle Gonzales,4/16/69,S,F,gabrielle39@adventure-works.com,100000,3,1,Bachelors,Management,1,4,1274 Marlboro Court,743-555-0153,5/11/07,2-5 Miles,United States,Washington,98027,Issaquah
27929,AW00027929,Ross,Madan,Ross Madan,6/28/60,S,M,ross7@adventure-works.com,170000,3,3,Partial College,Professional,0,4,8390 E. 32nd Street,1 (11) 500 555-0151,9/24/07,0-1 Miles,United Kingdom,England,WA1,Warrington
13450,AW00013450,Victoria,Jones,Victoria Jones,7/18/65,S,F,victoria4@adventure-works.com,90000,4,3,High School,Professional,1,1,8738 Crawford Street,328-555-0157,10/30/06,5-10 Miles,United States,Oregon,97045,Oregon City
11081,AW00011081,Savannah,Baker,Savannah Baker,7/24/70,M,F,savannah39@adventure-works.com,120000,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,478-555-0117,8/16/07,2-5 Miles,United States,California,94519,Concord
27146,AW00027146,Danny,Hernandez,Danny Hernandez,8/21/69,S,M,danny4@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,856 Summit View Dr,1 (11) 500 555-0164,12/7/07,5-10 Miles,Australia,Queensland,4700,Rockhampton
20694,AW00020694,Daniel,Anderson,Daniel Anderson,4/12/68,M,M,daniel7@adventure-works.com,60000,4,4,Bachelors,Skilled Manual,1,2,3330 Hawes Street,984-555-0147,9/2/07,2-5 Miles,Canada,British Columbia,V7L 4J4,N. Vancouver
21582,AW00021582,Amber,Roberts,Amber Roberts,3/13/76,M,F,amber3@adventure-works.com,50000,1,1,Graduate Degree,Skilled Manual,1,0,9665 Geneva Ave.,597-555-0197,4/10/07,0-1 Miles,Canada,British Columbia,V8Y 1L1,Cliffside
11010,AW00011010,Jacquelyn,Suarez,Jacquelyn Suarez,2/6/68,S,F,jacquelyn20@adventure-works.com,70000,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,1 (11) 500 555-0169,7/17/05,5-10 Miles,Australia,Queensland,4169,East Brisbane
18802,AW00018802,Mario,Shen,Mario Shen,10/11/75,M,M,mario1@adventure-works.com,60000,1,1,Graduate Degree,Skilled Manual,1,0,4951 G Street,602-555-0112,5/29/08,0-1 Miles,United States,Washington,98312,Bremerton
12732,AW00012732,Todd,Guo,Todd Guo,2/21/76,S,M,todd17@adventure-works.com,10000,0,0,Partial High School,Manual,1,2,"72, rue de Berri",1 (11) 500 555-0173,2/23/08,1-2 Miles,France,Loiret,45000,Orleans
13523,AW00013523,Adrienne,Ruiz,Adrienne Ruiz,11/3/80,S,F,adrienne2@adventure-works.com,10000,0,0,High School,Manual,1,2,934 St. Paul Way,1 (11) 500 555-0127,11/24/07,0-1 Miles,Australia,South Australia,5023,Findon
21188,AW00021188,Clifford,Sanchez,Clifford Sanchez,7/19/68,M,M,clifford19@adventure-works.com,60000,4,4,Bachelors,Professional,1,2,494 Crown Court,1 (11) 500 555-0195,12/1/07,5-10 Miles,Australia,Victoria,3550,Bendigo
11191,AW00011191,Kristi,Perez,Kristi Perez,12/18/49,S,F,kristi39@adventure-works.com,70000,5,0,Bachelors,Management,1,3,1769 Lislin Ct,123-555-0181,2/11/06,10+ Miles,United States,California,94014,Colma
15708,AW00015708,Nina,Jai,Nina Jai,7/21/53,M,F,nina11@adventure-works.com,120000,4,5,High School,Management,1,3,Karl Liebknecht str 577,1 (11) 500 555-0112,8/27/07,10+ Miles,Germany,Hamburg,80074,München
28155,AW00028155,Taylor,Watson,Taylor Watson,8/24/72,S,F,taylor21@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,1144 Paradise Ct.,682-555-0190,9/23/05,2-5 Miles,United States,California,92625,Newport Beach
13767,AW00013767,Linda,Jimenez,Linda Jimenez,11/16/72,S,F,linda20@adventure-works.com,30000,1,1,Bachelors,Clerical,0,0,Potsdamer Straße 757,1 (11) 500 555-0174,10/11/05,1-2 Miles,Germany,Hamburg,80074,München
12073,AW00012073,Thomas,Rodriguez,Thomas Rodriguez,8/23/48,M,M,thomas68@adventure-works.com,70000,4,0,Bachelors,Management,1,2,8094 Roxbury Drive,972-555-0135,9/7/07,10+ Miles,United States,California,90712,Lakewood
13165,AW00013165,Wyatt,Walker,Wyatt Walker,9/21/80,S,M,wyatt24@adventure-works.com,40000,0,0,Partial College,Skilled Manual,0,1,1884 Scramble Road,188-555-0134,7/17/06,1-2 Miles,United States,California,90712,Lakewood
28470,AW00028470,Tamara,Tang,Tamara Tang,2/19/58,M,F,tamara15@adventure-works.com,10000,2,0,Partial College,Manual,0,1,"8181, rue des Grands Champs",1 (11) 500 555-0123,3/7/06,0-1 Miles,France,Val de Marne,94310,Orly
22425,AW00022425,Roy,Sullivan,Roy Sullivan,10/7/62,S,M,roy39@adventure-works.com,20000,2,0,Partial College,Manual,0,1,"22, rue Jean Mermoz",1 (11) 500 555-0169,4/26/08,2-5 Miles,France,Essonne,91370,Verrieres Le Buisson
26313,AW00026313,Dalton,Simmons,Dalton Simmons,11/2/75,M,M,dalton61@adventure-works.com,70000,3,0,Graduate Degree,Professional,1,0,5856 Onley Dr.,415-555-0115,9/20/06,2-5 Miles,United States,California,91945,Lemon Grove
21501,AW00021501,Deb,Foster,Deb Foster,2/3/56,S,M,deb9@adventure-works.com,70000,2,1,Partial High School,Skilled Manual,1,3,2866 Reisling Court,741-555-0174,3/2/07,10+ Miles,Canada,British Columbia,V8P,Oak Bay
22314,AW00022314,Brandy,Patel,Brandy Patel,11/15/75,M,F,brandy21@adventure-works.com,10000,0,0,Partial High School,Manual,0,2,"701, boulevard du Montparnasse",1 (11) 500 555-0188,2/2/08,0-1 Miles,France,Val de Marne,94310,Orly
20326,AW00020326,Paige,Blue,Paige Blue,8/11/67,M,F,paige3@adventure-works.com,130000,3,2,Bachelors,Management,1,4,5882 Wheel Ave.,491-555-0198,10/30/07,1-2 Miles,United States,California,94070,San Carlos
20227,AW00020227,Louis,Zhang,Louis Zhang,11/8/70,M,M,louis38@adventure-works.com,90000,2,0,Bachelors,Professional,1,0,5099 Park Lane Circle,1 (11) 500 555-0143,4/23/06,2-5 Miles,Australia,New South Wales,2264,Silverwater
20278,AW00020278,Alisha,Oliver,Alisha Oliver,9/4/81,M,F,alisha36@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,9609 W 74th St.,325-555-0186,9/4/07,5-10 Miles,United States,California,94519,Concord
23307,AW00023307,Meredith,Ramos,Meredith Ramos,6/2/51,M,F,meredith41@adventure-works.com,10000,2,1,High School,Skilled Manual,1,2,4947 Noah Court,1 (11) 500 555-0198,11/12/07,5-10 Miles,Australia,New South Wales,2061,Milsons Point
13223,AW00013223,Noah,Lee,Noah Lee,7/9/50,S,M,noah69@adventure-works.com,70000,4,1,Bachelors,Management,1,1,3712 Kirker Pass Road,610-555-0123,4/27/08,10+ Miles,United States,California,91932,Imperial Beach
17962,AW00017962,Colin,Zhou,Colin Zhou,8/16/73,M,M,colin9@adventure-works.com,30000,0,0,Bachelors,Clerical,1,0,7479 Ellis Street,1 (11) 500 555-0199,3/18/07,0-1 Miles,United Kingdom,England,SW8 4BG,London
22448,AW00022448,Cindy,Weber,Cindy Weber,10/10/73,S,F,cindy4@adventure-works.com,40000,0,0,Graduate Degree,Clerical,1,0,"8344, rue de la Centenaire",1 (11) 500 555-0169,8/25/07,0-1 Miles,France,Essonne,91420,Morangis
22600,AW00022600,Maurice,Kumar,Maurice Kumar,8/13/62,S,M,maurice8@adventure-works.com,30000,1,0,Bachelors,Clerical,1,0,5846 Premier Place,1 (11) 500 555-0189,6/18/08,0-1 Miles,United Kingdom,England,KB9,Kirkby
13820,AW00013820,Danny,Alvarez,Danny Alvarez,10/8/67,M,M,danny5@adventure-works.com,40000,1,0,Bachelors,Skilled Manual,1,0,4770 Blue Jay Drive,1 (11) 500 555-0131,9/28/05,0-1 Miles,United Kingdom,England,W1Y 3RA,London
28921,AW00028921,Corey,Deng,Corey Deng,5/17/51,M,M,corey1@adventure-works.com,120000,5,5,High School,Management,0,4,2367 Vancouver Way,1 (11) 500 555-0118,9/23/07,10+ Miles,United Kingdom,England,SW8 4BG,London
25462,AW00025462,Angel,Gray,Angel Gray,5/18/71,S,M,angel5@adventure-works.com,40000,0,0,Bachelors,Clerical,0,0,Pascalstr 442,1 (11) 500 555-0164,1/10/08,0-1 Miles,Germany,Hessen,34117,Kassel
11627,AW00011627,Dalton,Gray,Dalton Gray,2/27/77,M,M,dalton76@adventure-works.com,60000,1,0,Graduate Degree,Skilled Manual,1,0,4833 Nottingham Pl.,263-555-0144,2/28/08,0-1 Miles,United States,California,91977,Spring Valley
16687,AW00016687,Lawrence,Romero,Lawrence Romero,4/11/65,S,M,lawrence7@adventure-works.com,60000,1,0,Partial College,Skilled Manual,0,1,1386 Eastgate,1 (11) 500 555-0194,8/6/05,0-1 Miles,Australia,New South Wales,2036,Malabar
22586,AW00022586,Derek,Shen,Derek Shen,1/7/65,M,M,derek2@adventure-works.com,30000,3,0,Graduate Degree,Clerical,0,0,7884 Power Ave.,1 (11) 500 555-0174,5/29/08,0-1 Miles,United Kingdom,England,YO15,York
14012,AW00014012,Eddie,Vazquez,Eddie Vazquez,2/12/54,M,M,eddie15@adventure-works.com,40000,2,0,Bachelors,Management,1,2,6142 Kentucky Drive,1 (11) 500 555-0137,2/26/07,5-10 Miles,Australia,Queensland,4810,Townsville
17011,AW00017011,Sara,Hill,Sara Hill,4/20/72,M,F,sara39@adventure-works.com,60000,2,2,Graduate Degree,Professional,1,0,8805 Wiget Lane,398-555-0151,11/9/07,2-5 Miles,United States,California,91977,Spring Valley
12133,AW00012133,Colleen,Xie,Colleen Xie,12/26/59,M,F,colleen27@adventure-works.com,130000,3,4,Partial College,Professional,1,3,8976 E Leland,1 (11) 500 555-0175,8/14/06,5-10 Miles,United Kingdom,England,LA1 1LN,Lancaster
23436,AW00023436,Tanya,Munoz,Tanya Munoz,1/17/72,S,F,tanya3@adventure-works.com,70000,0,0,Bachelors,Professional,1,1,1005 Tanager Court,1 (11) 500 555-0111,2/12/07,5-10 Miles,Australia,New South Wales,2061,Milsons Point
27278,AW00027278,Brian,Cook,Brian Cook,1/27/72,M,M,brian33@adventure-works.com,40000,4,4,High School,Skilled Manual,1,3,1820 Payot Court,168-555-0129,5/15/08,10+ Miles,United States,California,94947,Novato
24245,AW00024245,Omar,Liang,Omar Liang,3/4/51,M,M,omar16@adventure-works.com,10000,2,1,Partial High School,Clerical,1,2,4717 Carpetta Circle,1 (11) 500 555-0141,6/20/08,1-2 Miles,Australia,Queensland,4551,Caloundra
14239,AW00014239,Maria,Peterson,Maria Peterson,6/19/45,M,F,maria17@adventure-works.com,70000,5,0,Bachelors,Management,1,2,3 Oaxaca,113-555-0142,11/7/06,10+ Miles,United States,California,90712,Lakewood
26800,AW00026800,Lauren,Lewis,Lauren Lewis,10/7/80,S,F,lauren39@adventure-works.com,40000,0,0,Partial College,Skilled Manual,0,1,593 Chatworth,836-555-0132,1/26/08,1-2 Miles,United States,California,90241,Downey
13191,AW00013191,Emma,Rodriguez,Emma Rodriguez,7/18/47,M,F,emma19@adventure-works.com,90000,5,0,Bachelors,Management,1,2,6659 Rheem Dr.,190-555-0145,3/2/08,1-2 Miles,United States,California,94063,Redwood City
17061,AW00017061,Brandi,Alonso,Brandi Alonso,10/11/71,M,F,brandi8@adventure-works.com,80000,5,5,Graduate Degree,Management,1,3,9442 Thors Bay Road,1 (11) 500 555-0138,1/14/08,0-1 Miles,Australia,New South Wales,2264,Silverwater
21739,AW00021739,Dale,Rai,Dale Rai,8/21/66,S,M,dale15@adventure-works.com,20000,1,0,Graduate Degree,Clerical,1,0,8609 Camino Peral,1 (11) 500 555-0163,10/6/07,0-1 Miles,United Kingdom,England,WA3,Watford
21247,AW00021247,Alex,Sanders,Alex Sanders,12/11/82,M,M,alex6@adventure-works.com,40000,0,0,High School,Skilled Manual,1,2,2338 Mozden Lane,772-555-0161,4/6/08,5-10 Miles,United States,Washington,98284,Sedro Woolley
23688,AW00023688,Olivia,Thomas,Olivia Thomas,5/19/48,M,F,olivia10@adventure-works.com,30000,5,0,Partial High School,Clerical,1,2,7596 Valley View Road,245-555-0149,7/16/07,10+ Miles,United States,California,94947,Novato
